15152993 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=712 vpkt=755 gate=1 dfps=25 rfps=60 aclk=28.42 vclk=850.10
15154009 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=738 vpkt=781 gate=1 dfps=25 rfps=60 aclk=29.44 vclk=851.14
15155025 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=428 pub=428 decf=746 vpkt=789 gate=1 dfps=17 rfps=55 aclk=29.82 vclk=851.46
15156051 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=428 pub=428 decf=746 vpkt=789 gate=1 dfps=0 rfps=41 aclk=29.82 vclk=851.46
15157078 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=428 pub=428 decf=746 vpkt=789 gate=1 dfps=0 rfps=40 aclk=29.82 vclk=851.46
15157330 screen-change  screen= 1 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=0 has_disp=0 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=746 vpkt=789 gate=1 dfps=0 rfps=40 aclk=0.00 vclk=0.00
15160447 screen-change  screen= 0 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=0 has_disp=0 paused=0 diag=0 supUI=0 | conv=428 pub=428 decf=746 vpkt=789 gate=1 dfps=0 rfps=30 aclk=0.00 vclk=0.00
15161957 screen-change  screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=0 paused=0 diag=0 supUI=0 | conv=0 pub=0 decf=746 vpkt=791 gate=1 dfps=0 rfps=20 aclk=0.00 vclk=0.00
15161983 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=0 paused=0 diag=0 supUI=0 | conv=0 pub=0 decf=747 vpkt=833 gate=1 dfps=0 rfps=20 aclk=0.00 vclk=855.78
15162999 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=0 diag=0 supUI=0 | conv=25 pub=25 decf=772 vpkt=858 gate=1 dfps=19 rfps=45 aclk=0.98 vclk=856.78
15164009 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=48 pub=48 decf=795 vpkt=881 gate=1 dfps=25 rfps=60 aclk=1.96 vclk=857.70
