# ps5-native-app-boilerplate - Observed libc API-surface manifest.
# Copyright (C) 2026 BlackBearReloaded
# SPDX-License-Identifier: GPL-3.0-or-later
#
# Interface metadata only: NID | ELF binding | ELF type | advertised size.
# No proprietary instructions, object contents, or implementation data.
g3ShSirD50I|1|2|0x24
sOOMlZoy1pg|1|2|0x1F9
x9uumWcxhXU|1|2|0x6B
WDpobjImAb4|1|2|0x64
ljFisaQPwYQ|1|2|0xB
8ngzWNZzFJU|1|2|0x6C
d3dMyWORw8A|1|2|0xF8
LEbYWl9rBc8|1|2|0xD
34nH7v2xvNQ|1|2|0xB
v7S7LhP2OJc|1|2|0x17D
5AYcEn7aoro|1|2|0xB
DAbZ-Vfu6lQ|1|2|0xB
1e-q5iIukH8|1|2|0xB
cmIyU0BNYeo|1|2|0x139
VuMMb5CfpEw|1|2|0x12
CL7VJxznu6g|1|2|0xB
7PxmvOEX3oc|1|2|0x30
seyrqIc4ovc|1|2|0x5C
+3PtYiUxl-U|1|2|0x5C
fnUEjBCNRVU|1|2|0x21
QJ5xVfKkni0|1|2|0x30
OGVdXU3E-xg|1|2|0xEF
D8JBAR3RiZQ|1|2|0xEF
aMucxariNg8|1|2|0x6B
bF4eWOM5ouo|1|2|0x8
eul2MC3gaYs|1|6|0x8
sUP1hBaouOw|1|2|0x8
JoeZJ15k5vU|1|1|0x8
dYJJbxnyb74|1|2|0xCF
e+hi-tOrDZU|1|1|0x50
+SeQg8c1WC0|1|1|0x50
43u-nm1hQc8|1|1|0x50
gQX+4GDQjpM|1|2|0xC
A+Y3xfrWLLo|1|2|0x14B
JG1MkIFKnT8|1|1|0x10
QWCTbYI14dA|1|1|0x10
VVgqI3B2bfk|1|1|0x10
UCjpTas5O3E|1|1|0x10
O7zxyNnSDDA|1|1|0x10
2h3jY75zMkI|1|1|0x10
zqASRvZg6d0|1|1|0x10
rQ-70s51wrc|1|1|0x10
sij3OtJpHFc|1|2|0x12
-9SIhUr4Iuo|1|2|0x239
xRycekLYXdc|1|2|0x11
8u8lPzUEq+U|1|2|0x84
ob5xAW4ln-0|1|2|0x5F
q0F6yS-rCms|1|2|0xC6
j4ViWNHEgww|1|2|0x60
gfP0im5Z3g0|1|2|0x9
2gbcltk3swE|1|2|0xD
Jo9ON-AX9eU|1|2|0x29
bSgY14j4Ov4|1|2|0x21
U52BlHBvYvE|1|2|0x9
QxqK-IdpumU|1|2|0x8
c41UEHVtiEA|1|2|0xD
QlcJbyd6jxM|1|2|0x337
CpWcnrEZbLA|1|2|0xD
7dlAxeH-htg|1|2|0x2FD
Ecwid6wJMhY|1|2|0x14D
iNbtyJKM0iQ|1|2|0xD
BKidCxmLC5w|1|2|0x32A
7pNKcscKrf8|1|2|0xD
mOnfZ5aNDQE|1|2|0x158
zlfEH8FmyUA|1|2|0xD
YDnLaav6W6Q|1|2|0x258
q+9E0X3aWpU|1|2|0xD
pSpDCDyxkaY|1|2|0x258
ykNF6P3ZsdA|1|2|0x257
we-vQBAugV8|1|2|0x537
H8AprKeZtNg|1|1|0x1C8
1TDo-ImqkJc|1|1|0x1C8
2sWzhYqFH4E|1|1|0x1C8
1uJgoVq3bQU|1|2|0x8
hM7qvmxBTx8|1|1|0x8
J-oDqE1N8R4|1|6|0x8
rcQCUr0EaRU|1|2|0x8
UlJSnyS473g|1|1|0x8
KmfpnwO2lkA|1|6|0x8
DbEnA+MnVIw|1|2|0x66
COSADmn1ROg|1|1|0x10
ac102y6Rjjc|1|1|0x10
HIhqigNaOns|1|1|0x10
8e2KBTO08Po|1|1|0x10
fmHLr9P3dOk|1|1|0x10
hzsdjKbFD7g|1|2|0x8
RGc3P3UScjY|1|2|0x237
zS94yyJRSUs|1|2|0x8
6aEXAPYpaEA|1|2|0x16B
oK6C1fys3dU|1|2|0x62
stv1S3BKfgw|1|2|0x1CC
CyXs2l-1kNA|1|2|0x61
4nRn+exUJAM|1|2|0xD
GUuiOcxL-r0|1|2|0xD
w3gRFGRjpZ4|1|2|0xD
OmDPJeJXkBM|1|2|0xF8
JhVR7D4Ax6Y|1|2|0x210
9iCP-hTL5z8|1|2|0x20F
cpCOXWMgha0|1|2|0x26
dW3xsu3EgFI|1|2|0x4C
VPbJwTCgME0|1|2|0xD
AV6ipCNa4Rw|1|2|0xA2
g7zzzLDYGw0|1|2|0x44
pXvbDfchu6k|1|2|0xBB
enqPGLfmVNU|1|2|0x66
KKgUiHSYGRE|1|2|0x2
cOYia2dE0Ik|1|2|0xAF
RMo7j0iTPfA|1|2|0x3B
+P6FRGH4LfA|1|2|0x36
NFLs+dRJGNg|1|2|0xE3
B59+zQQCcbU|1|2|0xBA
8zTFvBIAIN8|1|2|0x17F
aesyjrHVWy4|1|2|0xCE
6sJWiWSRuqk|1|2|0x1CA
DQbtGaBKlaw|1|2|0x7D
9yDWMxEFdJU|1|2|0x69
qjBlw2cVMAM|1|2|0xCE
fL3O02ypZFE|1|2|0x8
BTsuaJ6FxKM|1|2|0xEC
Noj9PsJrsa8|1|2|0x8
F8b+Wb-YQVs|1|2|0xBF
Al8MZJh-4hM|1|2|0xB3
L1SBTkC+Cvw|1|2|0x15
D+fkILS7EK0|1|2|0x3C
SmYrO79NzeI|1|2|0x29
ODGONXcSmz4|1|2|0x1
ENLfKJEZTjE|1|2|0x42
VsP3daJgmVA|1|2|0xD
7yMFgcS8EPA|1|2|0xB
SreZybSRWpU|1|2|0x9D
2B+V3qCqz4s|1|2|0x54
0uuqgRz9qfo|1|2|0xD
McaImWKXong|1|2|0x49
vEaqE-7IZYc|1|2|0xD
JOV1XY47eQA|1|2|0x29
SkRR6WxCTcE|1|2|0x12D
n2-b3O8qvqk|1|2|0xB
L7f7zYwBvZA|1|2|0x17
BnV7WrHdPLU|1|2|0xB
cFsD9R4iY50|1|2|0xD
np6xXcXEnXE|1|2|0xB
YvmY5Jf0VYU|1|2|0x55
OCbJ96N1utA|1|2|0x9
jfRI3snge3o|1|2|0xEF
0JidN6q9yGo|1|2|0x85
gsqXCd6skKs|1|2|0x7D
ihfGsjLjmOM|1|2|0xE
ShanbBWU3AA|1|2|0x13C
exNzzCAQuWM|1|2|0xB
5Lf51jvohTQ|1|2|0xB
YaHc3GS7y7g|1|2|0x75
iS4aWbUonl0|1|2|0x21
gTuXQwP9rrs|1|2|0xD
2X5agFjKxMc|1|2|0xC
VYQwFs4CC4Y|1|2|0x6
tgioGpKtmbE|1|2|0x100
hPzYSd5Nasc|1|2|0x35
k6pGNMwJB08|1|2|0x21
77uWF3Z2q90|1|2|0x79
0ITXuJOqrSk|1|2|0x61
qdlHjTa9hQ4|1|2|0xA1
Fm-dmyywH9Q|1|2|0x1A
kxm0z4T5mMI|1|2|0x1A
HC8vbJStYVY|1|2|0x66
qdGFBoLVNKI|1|2|0xF6
-QgqOT5u2Vk|1|2|0x76
OnHQSrOHTks|1|1|0x69
21KFhEQDJ3s|1|2|0x31
RnqlvEmvkdw|1|2|0x2B
20cUk0qX9zo|1|2|0x5A5
KNNNbyRieqQ|1|2|0x492
2Btkg8k24Zg|1|2|0xC
J6FoFNydpFI|1|2|0xC
owT6zLJxrTs|1|2|0xC
CC-BLMBu9-I|1|2|0xC
KuOuD58hqn4|1|2|0xC
NDcSfcYZRC8|1|2|0xC
Ujf3KzMvRmI|1|2|0xC
cVSk9y8URbc|1|2|0xC
Y7aJ1uydPMo|1|2|0xC
OGybVuPAhAY|1|2|0xC
LYo3GhIlB38|1|2|0x7D
Vla-Z+eXlxo|1|2|0x45
OJjm-QOIHlI|1|2|0xE
mfHdJTIvhuo|1|2|0xB
k04jLXu3+Ic|1|2|0xB
fEoW6BJsPt4|1|2|0x3D
iF1iQHzxBJU|1|2|0x26
qWESlyXMI3E|1|2|0x97
1nZ4Xfnyp38|1|2|0x3
ljkqMcC4-mk|1|2|0x34
-hn1tcVHq5Q|1|2|0xE
W6SiVSiCDtI|1|2|0xB
pzUa7KEoydw|1|2|0xB
gigoVHZvVPE|1|2|0x6F
p6lrRW8-MLY|1|2|0x67
MZO7FXyAPU8|1|2|0x25
u14Y1HFh0uY|1|2|0xDD
iCl-Z-g-uuA|1|2|0xE5
a3BNqojL4LM|1|2|0x120
XK2R46yx0jc|1|2|0x1F
f2YbMj0gBf8|1|2|0x2A3
fNH4tsl7rB8|1|2|0x184
qMp2fTDCyMo|1|2|0x84
jVS263HH1b0|1|2|0x1C8
388LcMWHRCA|1|2|0x64
2HzgScoQq9o|1|2|0x190
xlRcc7Rcqgo|1|2|0x190
aDmly36AAgI|1|2|0x1AD
JrwFIMzKNr0|1|2|0x7C
lPYpsOb9s-I|1|2|0x3CD
CT4aR0tBgkQ|1|2|0x1E
77qd0ksTwdI|1|2|0x100
CfOrGjBj-RY|1|2|0x1E
EiHf-aLDImI|1|2|0x1B
0WMHDb5Dt94|1|2|0x9C
zck+6bVj5pA|1|2|0xC
DZU+K1wozGI|1|2|0xC
ZUvemFIkkhQ|1|2|0xA
95V3PF0kUEA|1|2|0x22
lYdqBvDgeHU|1|2|0x1F
JCmHsYVc2eo|1|2|0x1B7
FU03r76UxaU|1|2|0x268
KeOZ19X8-Ug|1|2|0x12D
+5OuLYpRB28|1|2|0x3D
zvl6nrvd0sE|1|2|0x44
b-xTWRgI1qw|1|2|0x64
yL91YD-WTBc|1|2|0x311
PdnFCFqKGqA|1|2|0x132
LSp+r7-JWwc|1|2|0x3D
6ei1eQn2WIc|1|2|0x44
mnufPlYbnN0|1|2|0x48
z1EfxK6E0ts|1|2|0x48
-3pU5y1utmI|1|2|0x2F8
EBkab3s8Jto|1|2|0x80
vhPKxN6zs+A|1|2|0x80
fuzzBVdpRG0|1|2|0x5
lP9zfrhtpBc|1|2|0xD
O4L+0oCN9zA|1|2|0x225
moDSeLQGJFQ|1|2|0x10E
hdcGjNpcr4w|1|2|0x3E
islhay8zGWo|1|2|0x45
A+1YXWOGpuo|1|2|0x7A
se3uU7lRMHY|1|2|0x2CB
-BwLPxElT7U|1|2|0x8E
4iFgTDd9NFs|1|2|0x194
aX8H2+BBlWE|1|2|0x11
RIkUZRadZgc|1|2|0x2F
HPGLb8Qo6as|1|2|0xB
XrXTtRA7U08|1|2|0x9
ZWy6IcBqs1c|1|2|0x1FE
VGhcd0QwhhY|1|2|0x5
YLEc5sPn1Rg|1|2|0xD
MU25eqxSDTw|1|2|0x233
EH-x713A99c|1|2|0x281
weDug8QD-lE|1|2|0x215
YKbL5KR6RDI|1|2|0x6
RpTR+VY15ss|1|2|0x6
QZP6I9ZZxpE|1|2|0xB
qlWiRfOJx1A|1|2|0x56
z7aCCd9hMsI|1|2|0x39
zwV79ZJ9qAU|1|2|0x51
iI6kGxgXzcU|1|2|0xB
7Psx1DlAyE4|2|2|0xB
V02oFv+-JzA|1|2|0x1F
rDMyAf1Jhug|1|2|0x16
gLGmR9aan4c|1|2|0x1E
2q5PPh7HsKE|2|2|0x1F
wLlFkwG9UcQ|1|2|0x5C
kQelMBYgkK0|2|1|0x4
dmUgzUX3nXU|1|1|0x4
SRI6S9B+-a4|1|2|0xD
VUtibKJCt1o|1|2|0x245
zG0BNJOZdm4|1|1|0x8
yaFXXViLWPw|1|1|0x4
zCnSJWp-Qj8|1|1|0x4
FwzVaZ8Vnus|1|1|0x4
CZNm+oNmB-I|1|1|0x4
G3qjOUu7KnM|1|2|0x2F
t3RFHn0bTPg|1|2|0x23
ByfjUZsWiyg|1|2|0x86
SfQIZcqvvms|1|2|0x50
XGnuIBmEmyk|1|2|0x47
5jNubw4vlAA|1|2|0x22
Xnrfb2-WhVw|1|2|0x8C
cJWGxiQPmDQ|1|2|0x46
-kU6bB4M-+k|1|2|0xB5
lKEN2IebgJ0|2|2|0x75
gNQ1V2vfXDE|1|2|0x4D
iVhJZvAO2aQ|1|2|0x9
5TjaJwkLWxE|1|2|0x22
9oiX1kyeedA|1|2|0x64
DfivPArhucg|1|2|0x3B
Ls4tzzhimqQ|1|2|0x12F
Ovb2dSJOAuE|1|2|0x83
kiZSXIWd9vg|1|2|0xBF
CVoT4wFYleE|1|1|0x20
b7J3q7-UABY|1|2|0xAE1
9O1Xdko-wSo|1|2|0x182
JBcgYuW8lPU|1|2|0x2C1
QI-x0SL8jhw|1|2|0x1D2
Fk7-KFKZi-8|1|2|0xC8
XJp2C-b0tRU|1|2|0xC3
iH4YAIRcecA|1|2|0x35C
7Ly52zaL44Q|1|2|0x24C
GZWjF-YIFFk|1|2|0x157
Nx-F5v0-qU8|1|2|0x2C5
HUbZmOnT-Dg|1|2|0x23D
9VeY8wiqf8M|1|2|0x287
YjbpxXpi6Zk|1|2|0xF1
cPGyc5FGjy0|1|2|0xD5
m7iLTaO9RMs|1|2|0x10B
RCQAffkEh9A|1|2|0x10D
NVadfnzQhHQ|1|2|0x21E
8zsu04XNsZ4|1|2|0x1D2
pKwslsMUmSk|1|2|0x328
88Vv-AzHVj8|1|2|0x1B7
A1R5T0xOyn8|1|2|0x25B
BD-xV2fLe2M|1|2|0x12
sZ93QMbGRJY|1|2|0x12
E3RYvWbYLgk|1|2|0xB
q+AdV-EHiKc|1|2|0xB
YFoOw5GkkK0|1|2|0x1F9
iz2shAGFIxc|1|2|0x1AA
jJC7x18ge8k|1|2|0x281
tcN0ngcXegg|1|2|0x3BC
RvsFE8j3C38|1|2|0x3B8
RmE3aE8WHuY|1|2|0x3C0
+tfKv1vt0QQ|1|2|0x3B5
BNbWdC9Jg+4|1|2|0x37C
vh9aGR3ALP0|1|2|0x3B4
uVXcivvVHzU|1|2|0x399
gklG+J87Pq4|1|2|0x3B1
QdE7Arjzxos|1|2|0x41F
eWSt5lscApo|1|2|0x21C
M5KJmq-gKM8|1|2|0x378
wdPaII721tY|1|2|0x138
o-kMHRBvkbQ|1|2|0x12
i-ifjh3SLBU|1|2|0x12
RlGUiqyKf9I|1|2|0x74C
EjL+gY1G2lk|1|2|0x6FB
zXCi78bYrEI|1|2|0x1F
rtV7-jWC6Yg|1|2|0x278
WuMbPBKN1TU|1|2|0x206
lhpd6Wk6ccs|1|2|0x1B9
Y5DhuDKGlnQ|1|2|0x1F4
hsi9drzHR2k|1|2|0x1AB
jjjRS7l1MPM|1|2|0x1F
RQXLbdT2lc4|1|2|0x232
9LCjpWyQ5Zc|1|2|0x773
1D0H2KNjshE|1|2|0x636
HI4N2S6ZWpE|1|2|0xD4
rjak2Xm+4mE|1|2|0xD6
ZjtRqSMJwdw|1|2|0x140
1t1-JoZ0sZQ|1|2|0x132
pv2etu4pocs|1|2|0x67
eS+MVq+Lltw|1|2|0x67
MvdnffYU3jg|1|2|0x6F
XI0YDgH8x1c|1|2|0x6F
AqpZU2Njrmk|1|2|0x6C
